chemical,dsstox_sid,technology,assay,timeh,cell,aeid,aenm,bmad,hitc,modl,modl_ac10,modl_ga,modl_tp,resp_max,resp_min,resp_unit_x,spid,chid,casn,chnm,code,m6id,m4id,m5id,mc6_mthd_id,flag,fval,fval_unit,resp_unit_y
"2,4-Dichlorophenoxyacetic acid",DTXSID0020442,NVS,,,,333,NVS_ADME_hCYP2C19,2.60299124232151,1,hill,0.472468057624668,0.957114736443495,53.2142150181679,44.3451792012478,-6.57032441304171,percent_activity,LEGTV002C04,20442.0,94-75-7,"2,4-Dichlorophenoxyacetic acid",C94757,5042436.0,29830836.0,29890789.0,17.0,Less than 50% efficacy,,N,percent_activity
"2,4-Dichlorophenoxyacetic acid",DTXSID0020442,NVS,,,,423,NVS_ENZ_hCK2a2b2,2.32985283112996,1,hill,0.394941989303897,1.27735144538759,70.476428011273,58.7303566974308,-1.58393614367672,percent_activity,LEGTV002C04,,,,,,,,,,,,
"2,4-Dichlorophenoxyacetic acid",DTXSID0020442,NVS,,,,597,NVS_ENZ_rCOMT,3.33771015210153,1,hill,-1.19040046904175,1.99040789573433,25.277633975548,30.3812490728378,-0.0593383770953831,percent_activity,LEGTV002C04,20442.0,94-75-7,"2,4-Dichlorophenoxyacetic acid",C94757,5055603.0,29859353.0,29919305.0,11.0,Borderline active,,N,percent_activity
"2,4-Dichlorophenoxyacetic acid",DTXSID0020442,NVS,,,,597,NVS_ENZ_rCOMT,3.33771015210153,1,hill,-1.19040046904175,1.99040789573433,25.277633975548,30.3812490728378,-0.0593383770953831,percent_activity,LEGTV002C04,20442.0,94-75-7,"2,4-Dichlorophenoxyacetic acid",C94757,5055611.0,29859353.0,29919305.0,16.0,Hit-call potentially confounded by overfitting,,N,percent_activity
"2,4-Dichlorophenoxyacetic acid",DTXSID0020442,NVS,,,,597,NVS_ENZ_rCOMT,3.33771015210153,1,hill,-1.19040046904175,1.99040789573433,25.277633975548,30.3812490728378,-0.0593383770953831,percent_activity,LEGTV002C04,20442.0,94-75-7,"2,4-Dichlorophenoxyacetic acid",C94757,5055617.0,29859353.0,29919305.0,17.0,Less than 50% efficacy,,N,percent_activity
"2,4-Dichlorophenoxyacetic acid",DTXSID0020442,ATG,,,,134,ATG_PPARg_TRANS_up,0.234827250783085,1,hill,1.08175854606288,1.66486692572173,1.4588871418437,1.21573928489121,-0.00898541575291425,log2_fold_induction,TP0000075B08,20442.0,94-75-7,"2,4-Dichlorophenoxyacetic acid",C94757,4958653.0,29479153.0,29539204.0,16.0,Hit-call potentially confounded by overfitting,,N,log2_fold_induction
"2,4-Dichlorophenoxyacetic acid",DTXSID0020442,ATG,,,,134,ATG_PPARg_TRANS_up,0.234827250783085,1,hill,1.08175854606288,1.66486692572173,1.4588871418437,1.21573928489121,-0.00898541575291425,log2_fold_induction,TP0000075B08,20442.0,94-75-7,"2,4-Dichlorophenoxyacetic acid",C94757,4957924.0,29479153.0,29539204.0,11.0,Borderline active,,N,log2_fold_induction
"2,4-Dichlorophenoxyacetic acid",DTXSID0020442,ATG,,,,134,ATG_PPARg_TRANS_up,0.234827250783085,1,hill,1.08175854606288,1.66486692572173,1.4588871418437,1.21573928489121,-0.00898541575291425,log2_fold_induction,TP0000075B08,20442.0,94-75-7,"2,4-Dichlorophenoxyacetic acid",C94757,4957549.0,29479153.0,29539204.0,6.0,"Only highest conc above baseline, active",,N,log2_fold_induction
"2,4-Dichlorophenoxyacetic acid",DTXSID0020442,BSK,,,,206,BSK_BE3C_uPAR_up,0.040486699953,1,gnls,-2.01823790354917,-1.80817729579756,0.162737958526826,0.141,0.069,log10_fold_induction,TP0000075B08,20442.0,94-75-7,"2,4-Dichlorophenoxyacetic acid",C94757,2416973.0,7476222.0,7350350.0,18.0,AC50 less than lowest concentration tested,,N,log10_fold_induction
"2,4-Dichlorophenoxyacetic acid",DTXSID0020442,BSK,,,,206,BSK_BE3C_uPAR_up,0.040486699953,1,gnls,-2.01823790354917,-1.80817729579756,0.162737958526826,0.141,0.069,log10_fold_induction,TP0000075B08,20442.0,94-75-7,"2,4-Dichlorophenoxyacetic acid",C94757,2416950.0,7476222.0,7350350.0,17.0,Less than 50% efficacy,,N,log10_fold_induction
